id;title;link;pii;abstract
1;Hallmarks of Cancer: The Next Generation;https://api.elsevier.com/content/article/pii/[S0092867411001279];S0092867411001279;The hallmarks of cancer comprise six biological capabilities acquired during the multistep development of human tumors. The hallmarks constitute an organizing principle for rationalizing the complexities of neoplastic disease. They include sustaining proliferative signaling, evading growth suppressors, resisting cell death, enabling replicative immortality, inducing angiogenesis, and activating invasion and metastasis. Underlying these hallmarks are genome instability, which generates the genetic diversity that expedites their acquisition, and inflammation, which fosters multiple hallmark functions. Conceptual progress in the last decade has added two emerging hallmarks of potential generality to this listâreprogramming of energy metabolism and evading immune destruction. In addition to cancer cells, tumors exhibit another dimension of complexity: they contain a repertoire of recruited, ostensibly normal cells that contribute to the acquisition of hallmark traits by creating the âtumor microenvironment.â Recognition of the widespread applicability of these concepts will increasingly affect the development of new means to treat human cancer.
2;High-Resolution Microtubule Structures Reveal the Structural Transitions in @a@b-Tubulin upon GTP Hydrolysis;https://api.elsevier.com/content/article/pii/[S0092867414004838];S0092867414004838;SummaryDynamic instability, the stochastic switching between growth and shrinkage, is essential for microtubule function. This behavior is driven by GTP hydrolysis in the microtubule lattice and is inhibited by anticancer agents like Taxol. We provide insight into the mechanism of dynamic instability, based on high-resolution cryo-EM structures (4.7â5.6Â Ã) of dynamic microtubules and microtubules stabilized by GMPCPP or Taxol. We infer that hydrolysis leads to a compaction around the E-site nucleotide at longitudinal interfaces, as well as movement of the Î±-tubulin intermediate domain and H7 helix. Displacement of the C-terminal helices in both Î±- and Î²-tubulin subunits suggests an effect on interactions with binding partners that contact this region. Taxol inhibits most of these conformational changes, allosterically inducing a GMPCPP-like state. Lateral interactions are similar in all conditions we examined, suggesting that microtubule lattice stability is primarily modulated at longitudinal interfaces.
3;Role of carnitine in cancer chemotherapy-induced multiple organ toxicity;https://api.elsevier.com/content/article/pii/[S131901641000071X];S131901641000071X;AbstractIn the last few years, cancer chemotherapy has been successfully employed in the treatment of different types of human tumours. Unfortunately, the optimal clinical usefulness of this important treatment modality is usually limited secondary to the development of life-threatening multiple organ toxicity. Cancer chemotherapy may cause these toxic effects by mechanisms not involved in their anticancer activity that can severely affect the life of patients and represent a direct cause of death. Several experimental and clinical studies have demonstrated that some important anticancer drugs interfere with the absorption, synthesis, and excretion of carnitine in non-tumour tissues, resulting in a secondary carnitine deficiency which is reversed by carnitine treatment without affecting anticancer therapeutic efficacy. Prototypes of anticancer drugs that alter carnitine system are doxorubicin, cisplatin, carboplatin, oxaliplatin, cyclophosphamide and ifosfamide. Furthermore, cachectic cancer patients are especially at risk for carnitine deficiency due to decreased oral intake and/or increased renal losses. Altered serum and urine carnitine levels have been reported in cancer patients with various forms of malignant diseases. Recent studies in our laboratory have demonstrated that carnitine deficiency constitute a risk factor and should be viewed as a mechanism during development of oxazaphosphorines-induced cardiotoxicity in rats. Similarly, inhibition of gene expression of heart fatty acid-binding protein and organic cation/carnitine transporter in doxorubicin cardiomyopathic rat model has been reported. In view of these facts and in view of irreplaceability of these important anticancer drugs, this review aimed to highlight the role of carnitine depletion and supplementation during development of chemotherapy-induced multiple organ toxicity.
4;Highly parallel genome-wide expression profiling of individual cells using nanoliter droplets;https://api.elsevier.com/content/article/pii/[S0092867415005498];S0092867415005498;SummaryCells, the basic units of biological structure and function, vary broadly in type and state. Single-cell genomics can characterize cell identity and function, but limitations of ease and scale have prevented its broad application. Here we describe Drop-seq, a strategy for quickly profiling thousands of individualÂ cells by separating them into nanoliter-sized aqueous droplets, associating a different barcode with each cellâs RNAs, and sequencing them all together. Drop-seq analyzes mRNA transcripts from thousands of individual cells simultaneously while remembering transcriptsâ cell of origin. We analyzed transcriptomes from 44,808 mouse retinal cells and identified 39 transcriptionally distinct cell populations, creating a molecularÂ atlas of gene expression for known retinal cell classes and novel candidate cell subtypes. Drop-seqÂ will accelerate biological discovery by enablingÂ routine transcriptional profiling at single-cell resolution.Video Abstract
5;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];S0092867406009767;SummaryDifferentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.
6;Hydrogel: Preparation, characterization, and applications: A review;https://api.elsevier.com/content/article/pii/[S2090123213000969];S2090123213000969;AbstractHydrogel products constitute a group of polymeric materials, the hydrophilic structure of which renders them capable of holding large amounts of water in their three-dimensional networks. Extensive employment of these products in a number of industrial and environmental areas of application is considered to be of prime importance. As expected, natural hydrogels were gradually replaced by synthetic types due to their higher water absorption capacity, long service life, and wide varieties of raw chemical resources. Literature on this subject was found to be expanding, especially in the scientific areas of research. However, a number of publications and technical reports dealing with hydrogel products from the engineering points of view were examined to overview technological aspects covering this growing multidisciplinary field of research. The primary objective of this article is to review the literature concerning classification of hydrogels on different bases, physical and chemical characteristics of these products, and technical feasibility of their utilization. It also involved technologies adopted for hydrogel production together with process design implications, block diagrams, and optimized conditions of the preparation process. An innovated category of recent generations of hydrogel materials was also presented in some details.
7;Hallmarks of Cancer: The Next Generation;https://api.elsevier.com/content/article/pii/[S0092867411001279];S0092867411001279;The hallmarks of cancer comprise six biological capabilities acquired during the multistep development of human tumors. The hallmarks constitute an organizing principle for rationalizing the complexities of neoplastic disease. They include sustaining proliferative signaling, evading growth suppressors, resisting cell death, enabling replicative immortality, inducing angiogenesis, and activating invasion and metastasis. Underlying these hallmarks are genome instability, which generates the genetic diversity that expedites their acquisition, and inflammation, which fosters multiple hallmark functions. Conceptual progress in the last decade has added two emerging hallmarks of potential generality to this listâreprogramming of energy metabolism and evading immune destruction. In addition to cancer cells, tumors exhibit another dimension of complexity: they contain a repertoire of recruited, ostensibly normal cells that contribute to the acquisition of hallmark traits by creating the âtumor microenvironment.â Recognition of the widespread applicability of these concepts will increasingly affect the development of new means to treat human cancer.
8;Highly parallel genome-wide expression profiling of individual cells using nanoliter droplets;https://api.elsevier.com/content/article/pii/[S0092867415005498];S0092867415005498;SummaryCells, the basic units of biological structure and function, vary broadly in type and state. Single-cell genomics can characterize cell identity and function, but limitations of ease and scale have prevented its broad application. Here we describe Drop-seq, a strategy for quickly profiling thousands of individualÂ cells by separating them into nanoliter-sized aqueous droplets, associating a different barcode with each cellâs RNAs, and sequencing them all together. Drop-seq analyzes mRNA transcripts from thousands of individual cells simultaneously while remembering transcriptsâ cell of origin. We analyzed transcriptomes from 44,808 mouse retinal cells and identified 39 transcriptionally distinct cell populations, creating a molecularÂ atlas of gene expression for known retinal cell classes and novel candidate cell subtypes. Drop-seqÂ will accelerate biological discovery by enablingÂ routine transcriptional profiling at single-cell resolution.Video Abstract
9;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];S0092867406009767;SummaryDifferentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.
10;Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells;https://api.elsevier.com/content/article/pii/[S0092867415005000];S0092867415005000;SummaryIt has long been the dream of biologists to map gene expression at the single-cell level. With such data one might track heterogeneous cell sub-populations, and infer regulatory relationships between genes and pathways. Recently, RNA sequencing has achieved single-cell resolution. What is limiting is an effective way to routinely isolate and process large numbers of individual cells for quantitative in-depth sequencing. We have developed a high-throughput droplet-microfluidic approach for barcoding the RNA from thousands of individual cells for subsequent analysis by next-generation sequencing. The method shows a surprisingly low noise profile and is readily adaptable to other sequencing-based assays. We analyzed mouse embryonic stem cells, revealing in detail the population structure and the heterogeneous onset of differentiation after leukemia inhibitory factor (LIF) withdrawal. The reproducibility of these high-throughput single-cell data allowed usÂ to deconstruct cell populations and infer gene expression relationships.Video Abstract
11;Effect of bypassing the proximal gut on gut hormones involved with glycemic control and weight loss;https://api.elsevier.com/content/article/pii/[S1550728912000664];S1550728912000664;AbstractBackgroundThe reported remission of type 2 diabetes in patients undergoing Roux-en-Y gastric bypass has brought the role of the gut in glucose metabolism into focus. Our objective was to explore the differential effects on glucose homeostasis after oral versus gastrostomy glucose loading in patients with Roux-en-Y gastric bypass at an academic health science center.MethodsA comparative controlled investigation of oral versus gastrostomy glucose loading in 5 patients who had previously undergone gastric bypass and had a gastrostomy tube placed in the gastric remnant for feeding. A standard glucose load was administered either orally (day 1) or by the gastrostomy tube (day 2). The plasma levels of glucose, insulin, glucagon-like peptide 1 and peptide YY were measured before and after glucose loading.ResultsExclusion of the proximal small bowel from glucose passage induced greater plasma insulin, glucagon-like peptide 1, and peptide YY responses compared with glucose loading by way of the gastrostomy tube (P &lt,.05).ConclusionsExclusion of glucose passage through the proximal small bowel results in enhanced insulin and gut hormone responses in patients after gastric bypass. The gut plays a central role in glucose metabolism and represents a target for future antidiabetes therapies.
12;Systematic Discovery of Xist RNA Binding Proteins;https://api.elsevier.com/content/article/pii/[S0092867415003128];S0092867415003128;SummaryNoncoding RNAs (ncRNAs) function with associated proteins to effect complex structural and regulatoryÂ outcomes. To reveal the composition and dynamics of specific noncoding RNA-protein complexes (RNPs) inÂ vivo, we developed comprehensive identification of RNA binding proteins by mass spectrometry (ChIRP-MS). ChIRP-MS analysis of four ncRNAs captures key protein interactors, including a U1-specific link to the 3â² RNA processing machinery. Xist, anÂ essential lncRNA for X chromosome inactivation (XCI), interacts with 81 proteins from chromatin modification, nuclear matrix, and RNA remodeling pathways. The Xist RNA-protein particle assembles in two steps coupled with the transition from pluripotency to differentiation. Specific interactors include HnrnpK, which participates in Xist-mediated gene silencing and histone modifications but not Xist localization, and Drosophila Split ends homolog Spen, which interacts via the A-repeat domain of Xist and is required for gene silencing. Thus, Xist lncRNA engages with proteins in a modular and developmentally controlled manner to coordinate chromatin spreading and silencing.
13;Genome-wide CRISPR Screen in a Mouse Model of Tumor Growth and Metastasis;https://api.elsevier.com/content/article/pii/[S0092867415002044];S0092867415002044;SummaryGenetic screens are powerful tools for identifying genes responsible for diverse phenotypes. Here we describe a genome-wide CRISPR/Cas9-mediated loss-of-function screen in tumor growth and metastasis. We mutagenized a non-metastatic mouse cancer cell line using a genome-scale library with 67,405 single-guide RNAs (sgRNAs). The mutant cell pool rapidly generates metastases when transplanted into immunocompromised mice. Enriched sgRNAs in lung metastases and late-stage primary tumors were found to target a small set of genes, suggesting that specific loss-of-function mutations drive tumor growth and metastasis. Individual sgRNAs and a small pool of 624 sgRNAs targeting the top-scoring genes from the primary screen dramatically accelerate metastasis. In all of these experiments, the effect of mutations on primary tumor growth positively correlates with the development of metastases. Our study demonstrates Cas9-based screening as a robust method to systematically assay gene phenotypes in cancer evolution inÂ vivo.
