;title;link;abstract;tags;pii;free
0;Role of carnitine in cancer chemotherapy-induced multiple organ toxicity;https://api.elsevier.com/content/article/pii/[S131901641000071X];In the last few years, cancer chemotherapy has been successfully employed in the treatment of different types of human tumours. Unfortunately, the optimal clinical usefulness of this important treatment modality is usually limited secondary to the development of life-threatening multiple organ toxicity. Cancer chemotherapy may cause these toxic effects by mechanisms not involved in their anticancer activity that can severely affect the life of patients and represent a direct cause of death. Several experimental and clinical studies have demonstrated that some important anticancer drugs interfere with the absorption, synthesis, and excretion of carnitine in non-tumour tissues, resulting in a secondary carnitine deficiency which is reversed by carnitine treatment without affecting anticancer therapeutic efficacy. Prototypes of anticancer drugs that alter carnitine system are doxorubicin, cisplatin, carboplatin, oxaliplatin, cyclophosphamide and ifosfamide. Furthermore, cachectic cancer patients are especially at risk for carnitine deficiency due to decreased oral intake and/or increased renal losses. Altered serum and urine carnitine levels have been reported in cancer patients with various forms of malignant diseases. Recent studies in our laboratory have demonstrated that carnitine deficiency constitute a risk factor and should be viewed as a mechanism during development of oxazaphosphorines-induced cardiotoxicity in rats. Similarly, inhibition of gene expression of heart fatty acid-binding protein and organic cation/carnitine transporter in doxorubicin cardiomyopathic rat model has been reported. In view of these facts and in view of irreplaceability of these important anticancer drugs, this review aimed to highlight the role of carnitine depletion and supplementation during development of chemotherapy-induced multiple organ toxicity.;carnitine,treatment,multiple organ toxicity,doxorubicin cardiomyopathic rat,view;S131901641000071X;0
1;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;1
2;Hydrogel: Preparation, characterization, and applications: A review;https://api.elsevier.com/content/article/pii/[S2090123213000969];Hydrogel products constitute a group of polymeric materials, the hydrophilic structure of which renders them capable of holding large amounts of water in their three-dimensional networks. Extensive employment of these products in a number of industrial and environmental areas of application is considered to be of prime importance. As expected, natural hydrogels were gradually replaced by synthetic types due to their higher water absorption capacity, long service life, and wide varieties of raw chemical resources. Literature on this subject was found to be expanding, especially in the scientific areas of research. However, a number of publications and technical reports dealing with hydrogel products from the engineering points of view were examined to overview technological aspects covering this growing multidisciplinary field of research. The primary objective of this article is to review the literature concerning classification of hydrogels on different bases, physical and chemical characteristics of these products, and technical feasibility of their utilization. It also involved technologies adopted for hydrogel production together with process design implications, block diagrams, and optimized conditions of the preparation process. An innovated category of recent generations of hydrogel materials was also presented in some details.;hydrogel products,polymeric materials,research,chemical characteristics,chemical resources literature;S2090123213000969;0
3;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;0
4;Effect of bypassing the proximal gut on gut hormones involved with glycemic control and weight loss;https://api.elsevier.com/content/article/pii/[S1550728912000664];BackgroundThe reported remission of type 2 diabetes in patients undergoing Roux-en-Y gastric bypass has brought the role of the gut in glucose metabolism into focus. Our objective was to explore the differential effects on glucose homeostasis after oral versus gastrostomy glucose loading in patients with Roux-en-Y gastric bypass at an academic health science center.MethodsA comparative controlled investigation of oral versus gastrostomy glucose loading in 5 patients who had previously undergone gastric bypass and had a gastrostomy tube placed in the gastric remnant for feeding. A standard glucose load was administered either orally (day 1) or by the gastrostomy tube (day 2). The plasma levels of glucose, insulin, glucagon-like peptide 1 and peptide YY were measured before and after glucose loading.ResultsExclusion of the proximal small bowel from glucose passage induced greater plasma insulin, glucagon-like peptide 1, and peptide YY responses compared with glucose loading by way of the gastrostomy tube (P &lt,.05).ConclusionsExclusion of glucose passage through the proximal small bowel results in enhanced insulin and gut hormone responses in patients after gastric bypass. The gut plays a central role in glucose metabolism and represents a target for future antidiabetes therapies.;glucose,gastric bypass,peptide 1,gastrostomy tube,patients;S1550728912000664;0
5;Disruptions of Topological Chromatin Domains Cause Pathogenic Rewiring of Gene-Enhancer Interactions;https://api.elsevier.com/content/article/pii/[S0092867415003773];Mammalian genomes are organized into megabase-scale topologically associated domains (TADs). We demonstrate that disruption of TADs can rewire long-range regulatory architecture and result in pathogenic phenotypes. We show that distinct human limb malformations are caused by deletions, inversions, or duplications altering the structure of the TAD-spanning WNT6/IHH/EPHA4/PAX3 locus. Using CRISPR/Cas genome editing, we generated mice with corresponding rearrangements. Both in mouse limb tissue and patient-derived fibroblasts, disease-relevant structural changes cause ectopic interactions between promoters and non-coding DNA, and a cluster of limb enhancers normally associated with Epha4 is misplaced relative to TAD boundaries and drives ectopic limb expression of another gene in the locus. This rewiring occurred only if the variant disrupted a CTCF-associated boundary domain. Our results demonstrate the functional importance of TADs for orchestrating gene expression via genome architecture and indicate criteria for predicting the pathogenicity of human structural variants, particularly in non-coding regions of the human genome.;tads,genome,limb,human,boundary domain;S0092867415003773;1
6;Hydrogel: Preparation, characterization, and applications: A review;https://api.elsevier.com/content/article/pii/[S2090123213000969];Hydrogel products constitute a group of polymeric materials, the hydrophilic structure of which renders them capable of holding large amounts of water in their three-dimensional networks. Extensive employment of these products in a number of industrial and environmental areas of application is considered to be of prime importance. As expected, natural hydrogels were gradually replaced by synthetic types due to their higher water absorption capacity, long service life, and wide varieties of raw chemical resources. Literature on this subject was found to be expanding, especially in the scientific areas of research. However, a number of publications and technical reports dealing with hydrogel products from the engineering points of view were examined to overview technological aspects covering this growing multidisciplinary field of research. The primary objective of this article is to review the literature concerning classification of hydrogels on different bases, physical and chemical characteristics of these products, and technical feasibility of their utilization. It also involved technologies adopted for hydrogel production together with process design implications, block diagrams, and optimized conditions of the preparation process. An innovated category of recent generations of hydrogel materials was also presented in some details.;hydrogel products,polymeric materials,research,chemical characteristics,chemical resources literature;S2090123213000969;1
7;Acrofacial Dysostosis, Cincinnati Type, a Mandibulofacial Dysostosis Syndrome with Limb Anomalies, Is Caused by POLR1A Dysfunction;https://api.elsevier.com/content/article/pii/[S0002929715001123];We report three individuals with a cranioskeletal malformation syndrome that we define as acrofacial dysostosis, Cincinnati type. Each individual has a heterozygous mutation in POLR1A, which encodes a core component of RNA polymerase 1. All three individuals exhibit varying degrees of mandibulofacial dysostosis, and two additionally have limb anomalies. Consistent with this observation, we discovered that polr1a mutant zebrafish exhibited cranioskeletal anomalies mimicking the human phenotype. polr1a loss of function led to perturbed ribosome biogenesis and p53-dependent cell death, resulting in a deficiency of neural-crest-derived skeletal precursor cells and consequently craniofacial anomalies. Our findings expand the genotypic and phenotypic heterogeneity of congenital acrofacial disorders caused by disruption of ribosome biogenesis.;polr1a,anomalies,acrofacial dysostosis,individuals,perturbed ribosome biogenesis;S0002929715001123;0
8;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];Differentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.;cells,reprogrammed,fibroblast cultures,adult fibroblasts,factors;S0092867406009767;1
9;Effect of bypassing the proximal gut on gut hormones involved with glycemic control and weight loss;https://api.elsevier.com/content/article/pii/[S1550728912000664];BackgroundThe reported remission of type 2 diabetes in patients undergoing Roux-en-Y gastric bypass has brought the role of the gut in glucose metabolism into focus. Our objective was to explore the differential effects on glucose homeostasis after oral versus gastrostomy glucose loading in patients with Roux-en-Y gastric bypass at an academic health science center.MethodsA comparative controlled investigation of oral versus gastrostomy glucose loading in 5 patients who had previously undergone gastric bypass and had a gastrostomy tube placed in the gastric remnant for feeding. A standard glucose load was administered either orally (day 1) or by the gastrostomy tube (day 2). The plasma levels of glucose, insulin, glucagon-like peptide 1 and peptide YY were measured before and after glucose loading.ResultsExclusion of the proximal small bowel from glucose passage induced greater plasma insulin, glucagon-like peptide 1, and peptide YY responses compared with glucose loading by way of the gastrostomy tube (P &lt,.05).ConclusionsExclusion of glucose passage through the proximal small bowel results in enhanced insulin and gut hormone responses in patients after gastric bypass. The gut plays a central role in glucose metabolism and represents a target for future antidiabetes therapies.;glucose,gastric bypass,peptide 1,gastrostomy tube,patients;S1550728912000664;0
